amt,user_id,latitudinal_distance,longitudinal_distance,is_fraud
31.23,7,0.165,0.303,0
121.78,0,0.35,0.066,0
12.08,6,0.133,0.218,0
22.82,7,0.397,0.587,0
500.29,3,0.642,0.385,0
97.79,2,0.852,0.087,0
2.6,5,0.793,0.897,0
76.03,1,0.158,0.509,0
97.72,1,0.585,0.216,0
50.77,0,0.024,0.433,0
16.61,7,0.8,0.395,0
164.22,5,0.907,0.053,0
34.66,3,0.571,0.84,0
6.54,10,0.241,0.558,0
29.33,5,0.909,0.112,0
64.45,10,0.315,0.263,0
7.67,7,0.534,0.991,0
416.69,10,0.603,0.983,0
48.17,5,0.508,0.575,0
78.04,3,0.094,0.414,0
12.05,5,0.045,0.624,0
148.88,7,0.965,0.398,0
58.07,7,0.811,0.837,0
3.11,6,0.449,0.167,0
130.59,7,0.18,0.452,0
6.55,1,0.991,0.227,0
58.57,1,0.779,0.445,0
4.0,4,0.604,0.479,0
50.74,10,0.781,0.535,0
1.74,6,0.995,0.389,0
135.08,0,0.624,0.056,0
4.3,1,0.882,0.798,0
85.86,1,0.84,0.063,0
83.59,1,0.022,0.857,0
14.01,9,0.964,0.741,0
50.3,0,0.011,0.552,0
124.14,5,0.893,0.913,0
67.76,9,0.628,0.423,0
103.98,7,0.511,0.771,0
162.51,9,0.199,0.443,0
17.78,6,0.585,0.059,0
6.28,5,0.931,0.863,0
80.95,4,0.7,0.378,0
107.24,2,0.791,0.298,0
76.03,6,0.215,0.36,0
434.2,7,0.133,0.767,0
5.16,1,0.358,0.053,0
102.51,0,0.651,0.377,0
15.06,1,0.677,0.179,0
47.87,3,0.289,0.524,0
76.34,1,0.344,0.739,0
2.79,10,0.716,0.172,0
65.27,3,0.042,0.024,0
3.19,1,0.833,0.37,0
32.97,0,0.952,0.551,0
28.72,9,0.905,0.615,0
4.8,1,0.715,0.854,0
8.17,2,0.124,0.923,0
20.31,10,0.985,0.62,0
1.71,9,0.709,0.545,0
56.95,5,0.416,0.364,0
55.34,5,0.564,0.187,0
9.03,10,0.489,0.84,0
69.42,3,0.567,0.045,0
3.34,10,0.151,0.924,0
40.69,1,0.671,0.044,0
8.27,5,0.31,0.497,0
26.16,0,0.502,0.318,0
7.28,0,0.578,0.605,0
2.52,4,0.075,0.343,0
10.31,5,0.732,0.467,0
4.45,7,0.31,0.396,0
12.54,0,0.263,0.698,0
6.01,1,0.736,0.674,0
52.33,2,0.677,0.831,0
19.29,10,0.829,0.045,0
51.06,3,0.34,0.885,0
3.88,7,0.952,0.822,0
86.2,5,0.474,0.367,0
158.14,0,0.433,0.234,0
28.47,5,0.619,0.888,0
12.29,4,0.044,0.854,0
5.0,5,0.248,0.471,0
9.85,10,0.414,0.275,0
81.43,4,0.4,0.392,0
65.62,6,0.291,0.709,0
22.69,9,0.234,0.701,0
5.86,10,0.006,0.982,0
2.42,1,0.133,0.762,0
78.59,0,0.662,0.693,0
147.69,3,0.581,0.929,0
57.44,1,0.763,0.947,0
14.35,0,0.407,0.784,0
5.26,5,0.118,0.64,0
12.39,0,0.329,0.143,0
12.29,0,0.315,0.424,0
6.2,6,0.841,0.803,0
18.95,7,0.426,0.623,0
152.98,6,0.968,0.046,0
15.73,5,0.34,0.387,0
29.19,5,0.97,0.124,0
31.33,7,0.017,0.581,0
56.49,0,0.445,0.613,0
5.02,7,0.989,0.262,0
3.91,9,0.92,0.904,0
17.91,2,0.37,0.653,0
80.96,9,0.177,0.591,0
40.97,5,0.214,0.046,0
127.55,2,0.847,0.666,0
6.49,7,0.294,0.992,0
1.42,2,0.234,0.363,0
3.42,7,0.847,0.077,0
64.31,7,0.564,0.94,0
53.83,5,0.012,0.051,0
72.14,1,0.644,0.543,0
127.33,0,0.323,0.628,0
46.61,5,0.744,0.685,0
11.96,7,0.88,0.856,0
67.41,5,0.957,0.824,0
116.37,1,0.073,0.36,0
2.17,10,0.072,0.564,0
141.42,1,0.307,0.256,0
60.15,1,0.65,0.753,0
26.32,5,0.254,0.522,0
4.87,0,0.326,0.214,0
8.12,7,0.777,0.575,0
121.17,2,0.848,0.769,0
40.45,7,0.062,0.393,0
82.77,10,0.309,0.321,0
66.85,1,0.126,0.13,0
70.81,10,0.666,0.456,0
148.41,7,0.195,0.525,0
9.68,1,0.354,0.562,0
13.7,0,0.695,0.192,0
199.37,7,0.509,0.234,0
5.69,10,0.465,0.528,0
10.55,0,0.666,0.24,0
63.58,2,0.689,0.001,0
45.91,10,0.151,0.063,0
52.57,10,0.648,0.499,0
6.23,5,0.046,0.207,0
47.85,10,0.857,0.784,0
155.79,4,0.045,0.51,0
29.22,0,0.782,0.479,0
24.74,0,0.083,0.638,0
165.2,7,0.358,0.069,0
201.55,10,0.472,0.922,0
73.89,10,0.918,0.785,0
9.55,0,0.557,0.503,0
25.13,1,0.864,0.976,0
84.78,1,0.836,0.228,0
8.44,7,0.262,0.859,0
77.46,4,0.575,0.508,0
136.93,5,0.627,0.628,0
57.19,10,0.972,0.322,0
87.04,0,0.502,0.088,0
83.89,3,0.723,0.609,0
4.57,5,0.38,0.818,0
90.6,0,0.702,0.421,0
26.13,0,0.778,0.759,0
1.24,0,0.603,0.785,0
47.02,7,0.711,0.294,0
42.46,3,0.388,0.652,0
11.6,0,0.548,0.317,0
200.83,0,0.704,0.417,0
3.48,0,0.203,0.022,0
72.64,3,0.07,0.037,0
116.1,1,0.441,0.75,0
9.11,1,0.379,0.176,0
49.82,4,0.06,0.554,0
10.16,1,0.712,0.507,0
164.07,7,0.627,0.188,0
23.19,1,0.499,0.785,0
37.61,7,0.48,0.055,0
50.14,3,0.72,0.93,0
10.6,0,0.577,0.312,0
7.27,0,0.395,0.166,0
2.36,9,0.454,0.056,0
64.85,5,0.341,0.384,0
9.03,10,0.713,0.225,0
85.75,7,0.757,0.682,0
607.75,1,0.656,0.406,0
83.78,7,0.294,0.764,0
86.35,4,0.125,0.082,0
48.09,10,0.547,0.033,0
2.05,1,0.647,0.89,0
75.8,1,0.996,0.667,0
13.54,10,0.05,0.826,0
3.41,0,0.862,0.342,0
91.73,10,0.957,0.297,0
39.53,6,0.802,0.138,0
4.85,2,0.678,0.181,0
37.28,7,0.469,0.157,0
9.75,7,0.562,0.974,0
2.92,1,0.859,0.814,0
5.39,5,0.869,0.008,0
14.93,1,0.719,0.628,0
73.68,9,0.175,0.375,0
83.38,5,0.638,0.819,0
3.86,1,0.064,0.961,0
56.72,1,0.044,0.304,0
4.46,6,0.976,0.068,0
135.7,10,0.586,0.356,0
47.0,4,0.801,0.609,0
104.34,10,0.323,0.178,0
61.37,1,0.378,0.764,0
8.29,7,0.338,0.056,0
5.62,10,0.707,0.332,0
2.07,7,0.013,0.514,0
67.95,7,0.063,0.002,0
76.45,10,0.175,0.915,0
86.6,0,0.844,0.623,0
42.81,0,0.948,0.905,0
14.35,10,0.592,0.084,0
2.29,1,0.625,0.689,0
85.16,3,0.147,0.505,0
52.35,1,0.755,0.667,0
31.45,0,0.949,0.712,0
11.38,9,0.142,0.684,0
37.11,2,0.999,0.844,0
91.37,0,0.022,0.477,0
57.14,10,0.68,0.764,0
73.19,3,0.774,0.409,0
3.71,9,0.968,0.12,0
330.48,6,0.823,0.299,0
111.1,1,0.354,0.296,0
6.75,10,0.178,0.988,0
11.75,2,0.757,0.984,0
6.14,0,0.136,0.521,0
30.95,5,0.034,0.227,0
1.72,4,0.864,0.005,0
29.57,2,0.312,0.622,0
14.34,7,0.159,0.957,0
8.38,7,0.129,0.807,0
18.56,10,0.818,0.047,0
81.26,3,0.582,0.195,0
66.93,0,0.883,0.567,0
132.64,3,0.195,0.478,0
6.03,9,0.219,0.214,0
78.09,0,0.125,0.119,0
103.36,4,0.067,0.955,0
1.62,4,0.785,0.65,0
3.46,10,0.46,0.243,0
117.6,0,0.866,0.193,0
62.4,0,0.396,0.861,0
53.51,5,0.683,0.353,0
5.4,4,0.176,0.769,0
17.93,2,0.967,0.16,0
84.42,0,0.683,0.018,0
155.02,7,0.735,0.563,0
8.87,10,0.956,0.063,0
30.18,7,0.581,0.696,0
22.33,1,0.782,0.5,0
43.25,0,0.226,0.195,0
21.23,4,0.768,0.443,0
22.7,0,0.639,0.507,0
82.32,4,0.67,0.231,0
25.54,10,0.167,0.204,0
28.02,10,0.464,0.105,0
13.17,0,0.428,0.086,1
11.74,0,0.348,0.972,1
5.56,10,0.129,0.684,0
2.04,5,0.211,0.05,0
3.0,1,0.395,0.543,0
154.33,7,0.962,0.196,0
155.93,2,0.206,0.459,0
81.07,7,0.761,0.541,0
52.59,7,0.14,0.007,0
6.38,5,0.761,0.395,0
19.16,0,0.92,0.641,1
60.94,7,0.091,0.758,0
117.67,1,0.095,0.717,0
52.46,9,0.398,0.093,0
6.71,7,0.219,0.16,0
61.42,4,0.23,0.756,0
95.24,1,0.423,0.854,0
1.88,10,0.07,0.471,0
55.26,7,0.026,0.573,0
117.71,1,0.246,0.072,0
20.99,1,0.197,0.26,0
9.77,9,0.44,0.05,0
124.69,7,0.082,0.504,0
42.03,4,0.468,0.614,0
62.95,10,0.585,0.892,0
20.41,7,0.882,0.239,0
7.71,9,0.265,0.441,0
25.51,7,0.729,0.088,0
1.27,4,0.3,0.055,0
2.14,6,0.57,0.803,0
5.08,10,0.34,0.194,0
66.23,3,0.577,0.212,0
27.9,5,0.49,0.411,0
79.47,6,0.405,0.273,0
14.58,6,0.363,0.71,0
830.06,0,0.266,0.921,1
261.79,0,0.801,0.445,1
594.09,0,0.536,0.791,1
130.08,0,0.135,0.016,1
20.41,0,0.872,0.798,1
19.23,0,0.009,0.232,1
66.08,4,0.603,0.027,0
119.05,2,0.834,0.974,0
11.46,1,0.342,0.055,0
54.39,0,0.752,0.734,0
212.31,5,0.554,0.386,0
136.99,3,0.661,0.062,0
42.43,1,0.72,0.962,0
61.5,1,0.533,0.136,0
5.89,7,0.997,0.308,0
61.18,5,0.647,0.336,0
120.15,5,0.493,0.14,0
75.61,5,0.011,0.533,0
130.24,3,0.183,0.096,0
104.4,1,0.599,0.127,0
1.61,1,0.573,0.182,0
5.42,5,0.385,0.447,0
15.61,7,0.797,0.911,0
52.53,7,0.659,0.643,0
25.71,10,0.41,0.469,0
8.42,4,0.898,0.824,0
39.71,10,0.653,0.471,0
44.41,7,0.754,0.745,0
46.05,7,0.894,0.364,0
43.27,4,0.227,0.118,0
5.83,6,0.635,0.51,0
4.25,9,0.834,0.41,0
70.93,7,0.478,0.224,0
80.42,7,0.03,0.247,0
81.63,1,0.421,0.781,0
46.81,1,0.014,0.019,0
83.66,1,0.074,0.201,0
87.84,0,0.741,0.131,0
1.29,5,0.125,0.541,0
168.82,1,0.114,0.259,0
200.46,9,0.231,0.018,0
80.52,3,0.327,0.211,0
3.88,1,0.604,0.064,0
56.42,3,0.934,0.382,0
14.17,9,0.292,0.007,0
4.26,9,0.112,0.236,0
110.38,10,0.137,0.347,0
52.71,0,0.533,0.14,0
107.8,0,0.386,0.774,0
3.37,4,0.8,0.628,0
53.23,7,0.715,0.855,0
13.45,1,0.967,0.38,0
71.96,1,0.055,0.93,0
8.74,6,0.603,0.85,0
5.16,9,0.724,0.887,0
43.17,7,0.637,0.002,0
29.12,1,0.61,0.897,0
55.55,5,0.54,0.447,0
5.28,1,0.974,0.336,0
3.9,1,0.563,0.522,0
83.86,4,0.777,0.752,0
18.19,1,0.832,0.146,0
74.24,7,0.657,0.018,0
141.56,0,0.119,0.068,0
7.76,2,0.011,0.14,0
36.43,5,0.34,0.364,0
119.5,5,0.617,0.106,0
39.55,4,0.471,0.376,0
47.08,0,0.608,0.211,0
44.51,1,0.295,0.498,0
109.66,0,0.291,0.529,0
84.9,7,0.822,0.526,0
112.01,3,0.767,0.142,0
7.06,10,0.431,0.552,0
70.96,10,0.59,0.732,0
22.6,1,0.132,0.134,0
3.33,7,0.864,0.476,0
91.34,5,0.529,0.67,0
52.44,3,0.544,0.418,0
16.54,0,0.382,0.892,0
36.93,1,0.177,0.9,0
63.24,7,0.764,0.33,0
22.29,10,0.466,0.409,0
204.68,0,0.446,0.757,0
34.55,2,0.843,0.852,0
6.8,5,0.736,0.42,0
74.86,4,0.785,0.987,0
58.46,9,0.714,0.545,0
17.66,7,0.391,0.097,0
83.12,0,0.995,0.887,0
12.65,2,0.075,0.82,0
3.5,7,0.163,0.63,0
161.68,1,0.622,0.015,0
1.84,7,0.692,0.434,0
103.37,4,0.741,0.8,0
66.94,10,0.24,0.452,0
7.78,10,0.558,0.459,0
93.42,10,0.985,0.855,0
50.04,1,0.315,0.302,0
55.15,6,0.934,0.943,0
43.74,1,0.267,0.523,0
2.83,1,0.872,0.674,0
5.99,6,0.276,0.117,0
99.44,1,0.022,0.069,0
40.14,10,0.562,0.678,0
15.31,10,0.838,0.478,0
65.71,0,0.301,0.17,0
7.73,6,0.449,0.728,0
59.36,1,0.11,0.168,0
114.09,2,0.156,0.955,0
70.81,9,0.451,0.744,0
10.17,7,1.0,0.974,0
124.44,1,0.714,0.238,0
100.44,10,0.885,0.677,0
15.46,5,0.525,0.49,0
9.63,0,0.183,0.068,0
169.78,2,0.584,0.022,0
5.53,5,0.346,0.507,0
8.87,5,0.873,0.491,0
9.71,10,0.378,0.445,0
