amt,is_fraud,user_id,latitudinal_distance,longitudinal_distance
140.87,0,2,0.895,0.447
54.12,0,7,0.791,0.667
46.6,0,12,0.303,0.328
38.16,0,11,0.318,0.438
35.14,0,8,0.806,0.333
46.13,0,7,0.577,0.322
137.37,0,13,0.486,0.348
66.28,0,12,0.476,0.255
72.14,0,3,0.255,0.955
40.57,0,9,0.948,0.442
58.27,0,9,0.829,0.569
4.64,0,1,0.521,0.602
63.07,0,4,0.672,0.15
50.52,0,4,0.677,0.182
38.52,0,13,0.832,0.394
340.51,0,14,0.513,0.501
5.48,0,11,0.127,0.778
77.02,0,3,0.777,0.95
72.33,0,11,0.406,0.683
105.14,0,3,0.135,0.651
58.38,0,5,0.571,0.511
2.97,0,1,0.372,0.658
96.96,0,7,0.821,0.746
119.96,0,12,0.926,0.753
8.99,0,6,0.407,0.588
46.49,0,15,0.368,0.523
46.05,0,5,0.398,0.08
66.99,0,11,0.368,0.619
70.18,0,7,0.91,0.746
78.64,0,1,0.403,0.321
148.02,0,0,0.128,0.437
1.35,0,1,0.433,0.64
2.87,0,14,0.553,0.589
150.15,0,13,0.409,0.729
9.11,0,10,0.179,0.378
2.52,0,8,0.547,0.919
1.17,0,2,0.138,0.453
74.39,0,5,0.162,0.263
24.36,0,4,0.893,0.15
61.16,0,12,0.431,0.661
79.23,0,13,0.15,0.946
2.83,0,0,0.095,0.751
7.15,0,5,0.603,0.653
31.59,0,11,0.041,0.407
8.98,0,12,0.929,0.942
9.74,0,11,0.281,0.918
11.56,0,7,0.928,0.038
78.79,0,9,0.476,0.976
58.36,0,7,0.294,0.788
7.26,0,0,0.776,0.707
58.86,0,15,0.726,0.808
4.93,0,14,1.0,0.607
5.25,0,2,0.476,0.602
53.3,0,12,0.54,0.456
94.46,0,1,0.657,0.648
6.17,0,0,0.696,0.318
1.24,0,15,0.677,0.889
2.33,0,5,0.18,0.507
5.39,0,0,0.711,0.372
12.18,0,5,0.318,0.526
40.53,0,4,0.736,0.54
3.14,0,6,0.885,0.774
110.16,0,9,0.886,0.728
29.07,0,13,0.438,0.775
27.96,0,1,0.842,0.001
23.7,0,1,0.785,0.465
3.33,0,1,0.567,0.329
46.95,0,0,0.871,0.8
34.79,0,9,0.343,0.036
127.47,0,1,0.444,0.67
8.12,0,9,0.427,0.574
89.09,0,3,0.343,0.666
1.26,0,9,0.438,0.335
119.21,0,3,0.663,0.747
1.97,0,7,0.811,0.742
46.04,0,11,0.485,0.161
78.54,0,0,0.454,0.606
42.55,0,0,0.383,0.858
37.67,0,7,0.944,0.596
1.49,0,4,0.599,0.57
13.44,0,9,0.998,0.834
108.48,0,7,0.429,0.191
34.68,0,13,0.909,0.497
68.77,0,14,0.309,0.273
145.63,0,13,0.116,0.776
44.96,0,10,0.206,0.617
123.27,0,5,0.838,0.578
45.36,0,12,0.775,0.638
1.26,0,1,0.257,0.893
1.93,0,12,0.175,0.611
11.61,0,1,0.955,0.238
78.76,0,13,0.035,0.541
1.12,0,5,0.776,0.8
58.59,0,1,0.657,0.991
20.77,0,12,0.457,0.863
81.14,0,0,0.913,0.116
117.02,0,9,0.154,0.141
1.54,0,8,0.838,0.048
29.97,0,1,0.418,0.291
148.84,0,1,0.047,0.887
192.49,0,12,0.185,0.232
18.43,0,4,0.07,0.598
62.52,0,13,0.312,0.968
38.17,0,10,0.765,0.988
202.73,0,5,0.24,0.67
6.42,0,15,0.685,0.559
72.28,0,7,0.376,0.355
142.6,0,0,0.939,0.022
77.44,0,3,0.583,0.477
110.55,0,4,0.289,0.709
1.89,0,15,0.175,0.08
15.43,0,5,0.922,0.899
39.06,0,7,0.957,0.439
86.14,0,14,0.232,0.95
43.49,0,7,0.5,0.216
2.41,0,7,0.116,0.375
7.62,0,9,0.462,0.601
88.07,0,0,0.132,0.471
79.62,0,7,0.636,0.122
62.44,0,1,0.516,0.579
42.45,0,1,0.981,0.996
134.69,0,5,0.989,0.466
107.92,0,0,0.302,0.578
110.94,0,9,0.161,0.735
24.59,0,4,0.304,0.006
7.22,0,0,0.062,0.653
15.1,0,7,0.066,0.669
64.95,0,11,0.634,0.18
41.02,0,7,0.163,0.095
58.54,0,7,0.884,0.823
33.01,0,4,0.787,0.768
6.49,0,12,0.482,0.034
7.92,0,1,0.631,0.575
73.72,0,13,0.27,0.563
2.52,0,15,0.249,0.023
1.27,0,8,0.715,0.302
50.63,0,13,0.604,0.73
39.67,0,7,0.978,0.176
72.68,0,7,0.673,0.227
5.28,0,6,0.818,0.85
57.64,0,12,0.328,0.719
7.81,0,12,0.164,0.499
116.66,0,5,0.312,0.452
9.03,0,10,0.252,0.322
48.13,0,13,0.598,0.272
41.01,0,10,0.133,0.276
37.42,0,13,0.336,0.282
81.68,0,1,0.345,0.988
4.41,0,12,0.741,0.998
69.89,0,0,0.856,0.33
71.4,0,15,0.558,0.987
139.78,0,3,0.973,0.492
2.72,0,1,0.641,0.42
23.5,0,5,0.253,0.689
97.17,0,12,0.512,0.139
48.34,0,7,0.801,0.793
76.47,0,13,0.078,0.526
93.86,0,7,0.305,0.488
61.57,0,13,0.394,0.244
37.96,0,5,0.149,0.636
41.45,0,9,0.458,0.592
1.79,0,15,0.093,0.951
6.14,0,15,0.048,0.056
4.81,0,12,0.641,0.093
102.15,0,0,0.312,0.925
32.13,0,7,0.217,0.119
36.97,0,0,0.675,0.966
4.59,0,9,0.183,0.094
52.3,0,3,0.556,0.793
7.46,0,7,0.343,0.979
2758.46,0,4,0.637,0.627
131.79,0,11,0.898,0.216
125.45,0,12,0.333,0.372
4.39,0,0,0.733,0.636
69.26,0,2,0.799,0.521
69.6,0,13,0.804,0.101
6.31,0,11,0.427,0.123
10.56,0,5,0.907,0.089
43.55,0,12,0.924,0.802
29.16,0,12,0.303,0.042
64.36,0,5,0.54,0.452
1.88,0,5,0.866,0.73
156.98,0,5,0.862,0.996
1.25,0,12,0.895,0.761
25.07,0,1,0.015,0.321
9.23,0,15,0.541,0.266
72.59,0,1,0.988,0.836
94.47,0,9,0.151,0.207
13.8,0,5,0.826,0.375
29.32,0,6,0.351,0.736
76.32,0,13,0.214,0.536
2.64,0,8,0.533,0.759
56.07,0,12,0.774,0.741
76.08,0,13,0.322,0.064
67.23,0,14,0.355,0.492
15.25,0,15,0.297,0.064
64.48,0,7,0.205,0.728
27.85,0,11,0.173,0.182
3.01,0,9,0.789,0.357
76.53,0,12,0.46,0.961
2.37,0,1,0.036,0.468
5.89,0,12,0.096,0.993
9.87,0,0,0.045,0.578
111.61,0,12,0.324,0.293
5.5,0,2,0.968,0.941
63.24,0,15,0.953,0.376
61.4,0,14,0.167,0.802
5.5,0,11,0.056,0.151
5.45,0,6,0.539,0.144
39.83,0,13,0.03,0.471
126.11,0,5,0.805,0.459
95.53,0,13,0.392,0.708
50.73,0,12,0.131,0.047
104.63,0,6,0.023,0.737
51.99,0,0,0.356,0.413
81.09,0,1,0.513,0.619
130.27,0,6,0.477,0.962
1.47,0,8,0.598,0.694
46.13,0,12,0.354,0.068
3.08,0,5,0.249,0.905
2.28,0,12,0.883,0.296
67.6,0,10,0.672,0.053
63.12,0,0,0.422,0.657
92.85,0,7,0.747,0.229
134.1,0,14,0.664,0.028
73.96,0,13,0.099,0.69
1.14,0,9,0.059,0.839
64.04,0,11,0.98,0.675
126.58,0,6,0.328,0.811
39.59,0,7,0.034,0.316
38.09,0,2,0.23,0.806
4.96,0,5,0.278,0.513
83.27,0,12,0.388,0.919
61.46,0,6,0.329,0.831
31.17,0,5,0.968,0.282
65.91,0,0,0.311,0.303
106.17,0,11,0.849,0.027
3.56,0,0,0.61,0.041
19.22,0,6,0.405,0.384
33.15,0,0,0.539,0.21
75.06,0,13,0.005,0.079
70.19,0,13,0.098,0.732
191.4,0,5,0.458,0.255
43.47,0,0,0.878,0.031
249.55,0,1,0.563,0.593
79.24,0,13,0.221,0.857
82.86,0,4,1.0,0.606
17.78,0,12,0.873,0.664
70.9,0,13,0.364,0.593
1.26,0,14,0.659,0.299
6.51,0,12,0.508,0.943
209.82,0,12,0.091,0.355
1.05,0,1,0.726,0.409
3.7,0,15,0.91,0.603
31.81,0,2,0.057,0.037
15.68,0,4,0.072,0.382
4.84,0,7,0.048,0.825
41.88,0,12,0.839,0.52
3.28,0,1,0.288,0.999
130.27,0,13,0.297,0.209
80.05,0,15,0.469,0.578
142.47,0,12,0.554,0.842
92.8,0,11,0.001,0.6
99.94,0,1,0.94,0.591
97.32,0,0,0.277,0.358
123.14,0,12,0.78,0.259
116.52,0,14,0.375,0.86
23.34,0,11,0.971,0.776
412.61,0,10,0.345,0.073
7.48,0,2,0.41,0.311
49.04,0,7,0.62,0.473
8.35,0,7,0.446,0.822
5.48,0,1,0.193,0.869
86.91,0,0,0.137,0.561
109.05,0,6,0.436,0.586
1.55,0,7,0.278,0.364
74.4,0,0,0.646,0.915
33.2,0,7,0.684,0.712
76.52,0,3,0.301,0.965
98.18,0,1,0.565,0.104
100.03,0,8,0.057,0.173
94.67,0,14,0.366,0.448
592.9,0,3,0.072,0.393
54.04,0,12,0.583,0.381
217.85,0,12,0.662,0.043
104.1,0,12,0.244,0.895
163.54,0,13,0.934,0.744
72.12,0,12,0.661,0.246
167.15,0,4,0.404,0.383
7.36,0,0,0.387,0.442
57.12,0,13,0.932,0.495
9.49,0,15,0.555,0.231
70.56,0,15,0.289,0.18
55.22,0,12,0.491,0.644
48.71,0,12,0.004,0.128
113.74,0,0,0.452,0.949
2.04,0,12,0.494,0.869
6.61,0,11,0.032,0.582
176.77,0,1,0.235,0.712
13.13,0,7,0.06,0.068
16.21,0,15,0.545,0.96
1.19,0,4,0.724,0.645
65.82,0,11,0.805,0.09
16.48,0,8,0.174,0.802
51.07,0,13,0.829,0.767
42.58,0,14,0.68,0.074
7.43,0,5,0.015,0.321
11.25,0,12,0.781,0.088
65.77,0,15,0.947,0.655
31.54,0,7,0.654,0.098
41.99,0,0,0.439,0.033
59.21,0,11,0.22,0.796
76.26,0,13,0.643,0.883
60.19,0,5,0.428,0.642
41.97,0,13,0.729,0.553
36.2,0,13,0.906,0.135
103.0,0,6,0.752,0.318
82.56,0,1,0.054,0.516
142.7,0,3,0.103,0.297
7.56,0,8,0.54,0.745
139.23,0,12,0.705,0.708
62.68,0,11,0.636,0.493
115.2,0,1,0.043,0.929
23.05,0,11,0.309,0.502
6.39,0,2,0.487,0.981
52.82,0,7,0.446,0.131
79.23,0,3,0.982,0.301
101.1,0,15,0.716,0.11
9.21,0,11,0.066,0.147
1.69,0,15,0.073,0.347
24.97,0,11,0.935,0.2
70.69,0,12,0.018,0.766
9.33,0,0,0.529,0.857
1.79,0,0,0.009,0.031
3.21,0,15,0.434,0.689
14.65,0,0,0.979,0.02
8.82,0,0,0.069,0.46
2.12,0,6,0.241,0.24
472.67,0,12,0.825,0.594
57.17,0,11,0.965,0.736
66.22,0,12,0.344,0.095
20.09,0,5,0.296,0.382
63.16,0,14,0.164,0.422
78.8,0,1,0.086,0.383
1.2,0,7,0.861,0.743
16.85,0,12,0.576,0.341
7.22,0,7,0.119,0.011
5.72,0,11,0.988,0.371
110.35,0,9,0.147,0.312
100.95,0,6,0.945,0.816
50.08,0,9,0.665,0.306
136.3,0,13,0.342,0.141
115.24,0,13,0.335,0.291
109.65,0,13,0.527,0.817
67.82,0,10,0.246,0.385
7.91,0,11,0.153,0.867
103.41,0,7,0.926,0.993
7.79,0,11,0.56,0.14
66.25,0,13,0.535,0.982
80.97,0,5,0.644,0.028
4.86,0,0,0.219,0.509
56.97,0,9,0.077,0.602
15.31,0,6,0.707,0.073
3.78,0,0,0.726,0.769
12.62,0,0,0.834,0.542
18.92,0,5,0.609,0.761
1.56,0,12,0.791,0.342
2.25,0,14,0.349,0.232
1.73,0,14,0.704,0.278
44.02,0,14,0.606,0.602
66.78,0,13,0.677,0.081
5.43,0,11,0.689,0.025
51.96,0,7,0.51,0.15
6.71,0,0,0.344,0.041
10.87,0,0,0.795,0.17
109.07,0,15,0.286,0.318
12.74,0,12,0.525,0.907
7.0,0,11,0.29,0.508
75.78,0,11,0.686,0.453
9.64,0,12,0.869,0.43
128.58,0,7,0.746,0.806
62.99,0,1,0.639,0.267
65.44,0,13,0.743,0.085
90.81,0,13,0.965,0.504
76.67,0,11,0.333,0.646
97.72,0,1,0.701,0.138
5.78,0,8,0.351,0.291
7.39,0,12,0.067,0.49
66.37,0,9,0.382,0.823
73.6,0,1,0.24,0.784
100.34,0,11,0.18,0.633
119.06,0,8,0.604,0.235
70.35,0,3,0.951,0.865
3.82,0,12,0.357,0.083
2.83,0,7,0.485,0.13
214.41,0,15,0.818,0.269
68.62,0,11,0.478,0.194
34.66,0,15,0.695,0.961
59.64,0,12,0.763,0.924
38.14,0,14,0.744,0.092
26.05,0,10,0.357,0.86
25.73,0,12,0.991,0.858
7.56,0,0,0.599,0.783
59.48,0,13,0.342,0.553
115.38,0,0,0.654,0.223
141.18,0,13,0.185,0.552
19.98,0,7,0.868,0.342
76.53,0,3,0.529,0.847
8.19,0,0,0.494,0.793
103.91,0,3,0.475,0.288
106.63,0,11,0.187,0.279
8.92,0,7,0.757,0.547
107.91,0,13,0.153,0.882
75.72,0,0,0.166,0.313
65.97,0,15,0.354,0.672
5.64,0,9,0.461,0.429
52.59,0,10,0.03,0.163
48.08,0,1,0.828,0.696
95.93,0,13,0.853,0.871
87.69,0,1,0.561,0.187
67.32,0,0,0.764,0.862
3.05,0,2,0.826,0.219
40.52,0,1,0.146,0.837
87.73,0,1,0.823,0.731
141.16,0,11,0.775,0.216
76.23,0,13,0.173,0.998
16.1,0,7,0.16,0.065
22.56,0,12,0.148,0.543
3.11,0,1,0.319,0.35
5.19,0,12,0.297,0.292
17.77,0,0,0.923,0.79
71.43,0,13,0.197,0.275
53.23,0,9,0.072,0.276
21.06,0,2,0.262,0.73
2.7,0,0,0.312,0.452
7.22,0,0,0.294,0.692
89.65,0,12,0.862,0.601
11.14,0,5,0.887,0.657
31.07,0,9,0.482,0.288
2.2,0,10,0.925,0.211
1.76,0,1,0.19,0.426
10.67,0,1,0.772,0.275
18.93,0,9,0.585,0.986
6.32,0,14,0.967,0.141
7.57,0,14,0.173,0.394
1.42,0,11,0.1,0.919
9.0,0,10,0.978,0.827
544.47,0,11,0.193,0.713
46.49,0,0,0.156,0.016
56.78,0,0,0.599,0.843
57.75,0,14,0.702,0.5
1.99,0,7,0.416,0.535
43.11,0,11,0.195,0.92
95.28,0,1,0.621,0.775
33.13,0,13,0.163,0.103
50.07,0,14,0.098,0.441
2.04,0,10,0.946,0.397
72.65,0,15,0.233,0.606
23.0,0,11,0.689,0.129
6.84,0,12,0.934,0.494
120.82,0,14,0.117,0.481
154.52,0,12,0.955,0.362
2.58,0,14,0.738,0.096
37.76,0,11,0.929,0.618
163.12,0,9,0.705,0.452
1.11,0,8,0.68,0.41
53.39,0,7,0.081,0.87
65.14,0,8,0.211,0.689
289.04,0,15,0.372,0.615
7.47,0,8,0.699,0.73
151.04,0,9,0.725,0.09
74.53,0,13,0.681,0.96
24.77,0,9,0.13,0.746
29.5,0,0,0.301,0.362
3.28,0,1,0.849,0.546
19.49,0,0,0.888,0.584
42.3,0,15,0.072,0.342
1.19,0,12,0.437,0.035
39.52,0,14,0.723,0.061
531.53,0,13,0.175,0.372
16.71,0,8,0.703,0.778
51.94,0,11,0.763,0.428
4.77,0,14,0.305,0.853
491.18,0,13,0.196,0.151
7.28,0,4,0.004,0.367
3.0,0,0,0.901,0.273
92.75,0,11,0.105,0.689
6.24,0,5,0.414,0.331
69.16,0,13,0.735,0.463
29.89,0,2,0.963,0.685
89.31,0,13,0.294,0.295
135.88,0,7,0.817,0.933
8.76,0,5,0.48,0.863
99.25,0,11,0.552,0.226
77.92,0,6,0.263,0.957
3.54,0,1,0.659,0.56
90.24,0,9,0.215,0.1
92.72,0,6,0.899,0.886
51.76,0,1,0.26,0.64
75.78,0,13,0.643,0.395
71.82,0,13,0.733,0.153
39.92,0,13,0.333,0.54
92.14,0,15,0.36,0.598
64.43,0,11,0.206,0.354
9.95,0,6,0.862,0.983
61.42,0,12,0.361,0.736
71.31,0,7,0.935,0.201
53.87,0,14,0.626,0.602
59.94,0,1,0.611,0.733
58.09,0,12,0.175,0.937
89.87,0,4,0.283,0.534
103.61,0,7,0.234,0.125
96.34,0,15,0.481,0.453
75.49,0,12,0.738,0.805
100.5,0,6,0.087,0.252
14.2,0,1,0.059,0.703
2.1,0,11,0.551,0.318
2.4,0,15,0.98,0.643
48.63,0,14,0.267,0.449
55.58,0,7,0.864,0.794
145.69,0,9,0.156,0.738
24.32,0,8,0.676,0.131
2.2,0,15,0.798,0.56
30.16,0,9,0.642,0.866
2.59,0,2,0.718,0.304
72.01,0,11,0.346,0.667
30.0,0,6,0.931,0.523
7.66,0,15,0.42,0.632
3.36,0,7,0.029,0.116
15.24,0,11,0.508,0.407
31.25,0,9,0.521,0.195
45.02,0,3,0.727,0.533
195.16,0,1,0.809,0.324
77.26,0,0,0.481,0.258
76.14,0,11,0.831,0.699
31.37,0,2,0.029,0.028
8.79,0,7,0.297,0.563
40.55,0,13,0.338,0.848
1.4,0,5,0.549,0.132
5.44,0,6,0.545,0.211
5.84,0,11,0.861,0.89
51.87,0,12,0.923,0.208
9.49,0,11,0.991,0.837
6.8,0,5,0.423,0.592
4.84,0,6,0.499,0.703
140.88,0,12,0.036,0.734
44.43,0,1,0.657,0.945
4.67,0,14,0.187,0.099
8.65,0,14,0.701,0.129
4.64,0,5,0.065,0.427
41.71,0,12,0.802,0.958
92.87,0,7,0.102,0.401
96.85,0,6,0.156,0.087
98.1,0,9,0.705,0.946
96.42,0,13,0.233,0.815
6.17,0,1,0.994,0.775
70.28,0,14,0.603,0.78
155.57,0,5,0.916,0.693
5.19,0,1,0.999,0.579
182.68,0,5,0.279,0.46
104.91,0,13,0.281,0.886
23.11,0,13,0.077,0.378
103.07,0,13,0.409,0.535
36.72,0,9,0.572,0.914
80.56,0,6,0.66,0.973
13.97,0,8,0.266,0.173
54.86,0,12,0.215,0.371
68.11,0,13,0.116,0.279
62.9,0,15,0.265,0.817
71.22,0,13,0.329,0.36
60.56,0,13,0.232,0.116
151.45,0,9,0.802,0.101
43.31,0,8,0.776,0.706
40.15,0,10,0.041,0.562
3.97,0,15,0.833,0.768
141.88,0,9,0.245,0.35
7.28,0,5,0.84,0.878
223.36,0,2,0.412,0.251
62.26,0,2,0.748,0.51
109.21,0,2,0.994,0.496
4.4,0,15,0.736,0.249
65.9,0,11,0.365,0.479
120.74,0,0,0.976,0.551
49.47,0,3,0.047,0.477
7.48,0,15,0.19,0.241
2.8,0,8,0.869,0.271
19.63,0,8,0.404,0.071
83.49,0,15,0.649,0.057
4.4,0,9,0.497,0.414
57.54,0,13,0.103,0.789
6.26,0,2,0.417,0.888
49.16,0,14,0.794,0.408
81.42,0,13,0.144,0.967
70.09,0,13,0.419,0.081
47.7,0,8,0.155,0.433
64.21,0,1,0.335,0.784
103.76,0,7,0.897,0.008
25.59,0,2,0.185,0.571
21.37,0,5,0.122,0.406
60.39,0,7,0.829,0.092
2.65,0,5,0.889,0.687
7.31,0,0,0.715,0.879
114.09,0,1,0.783,0.078
170.74,0,1,0.548,0.682
2.57,0,7,0.983,0.693
2.69,0,11,0.181,0.071
27.25,0,11,0.581,0.861
9.55,0,5,0.354,0.549
11.73,0,5,0.273,0.908
121.19,0,4,0.102,0.071
1.82,0,15,0.502,0.685
34.35,0,10,0.269,0.08
75.52,0,13,0.326,0.12
517.48,0,10,0.365,0.182
9.35,0,5,0.842,0.482
81.34,0,3,0.581,0.223
147.65,0,7,0.837,0.992
88.6,0,1,0.468,0.371
240.32,0,5,0.092,0.53
45.57,0,7,0.11,0.872
56.32,0,1,0.006,0.742
2.67,0,9,0.004,0.978
42.7,0,3,0.745,0.436
74.13,0,0,0.923,0.087
9.13,0,10,0.887,0.685
25.04,0,0,0.297,0.952
10.97,0,1,0.136,0.089
46.3,0,13,0.87,0.876
105.17,0,15,0.196,0.939
63.32,0,1,0.801,0.725
5.0,0,2,0.015,0.896
65.14,0,0,0.628,0.879
76.76,0,3,0.203,0.875
8.23,0,1,0.771,0.122
17.43,0,15,0.256,0.399
5.12,0,1,0.8,0.997
57.02,0,11,0.799,0.547
47.02,0,7,0.479,0.206
9.41,0,10,0.409,0.068
81.93,0,7,0.734,0.709
25.79,0,15,0.052,0.567
4.7,0,0,0.15,0.998
106.17,0,7,0.011,0.817
98.88,0,11,0.837,0.025
53.7,0,0,0.994,0.643
163.71,0,2,0.456,0.539
2.92,0,1,0.553,0.188
88.22,0,3,0.743,0.079
74.29,0,0,0.329,0.197
97.8,0,13,0.253,0.623
2.31,0,5,0.057,0.553
4.31,0,9,0.523,0.138
42.18,0,13,0.505,0.893
138.36,0,12,0.414,0.883
4.2,0,11,0.805,0.714
52.33,0,7,0.393,0.554
88.15,0,13,0.673,0.413
100.67,0,11,0.565,0.154
29.93,0,12,0.09,0.646
3.28,0,14,0.507,0.33
7.18,0,10,0.662,0.166
7.82,0,11,0.02,0.416
12.15,0,1,0.684,0.035
30.31,0,1,0.573,0.541
246.66,0,4,0.883,0.372
12.62,0,7,0.899,0.848
21.67,0,12,0.887,0.444
105.67,0,3,0.774,0.089
55.74,0,2,0.772,0.763
2.97,0,2,0.76,0.066
4.13,0,8,0.313,0.261
602.9,0,5,0.217,0.794
69.39,0,0,0.434,0.355
6.0,0,7,0.621,0.99
8.18,0,12,0.029,0.765
5.09,0,5,0.649,0.057
6.8,0,11,0.712,0.819
36.59,0,15,0.381,0.847
133.62,0,5,0.448,0.494
152.71,0,12,0.003,0.295
55.9,0,14,0.45,0.499
46.14,0,13,0.925,0.422
65.27,0,0,0.964,0.017
76.43,0,13,0.374,0.55
10.01,0,7,0.81,0.586
19.63,0,7,0.453,0.021
8.82,0,8,0.782,0.508
1.86,0,9,0.709,0.049
140.82,0,13,0.713,0.2
24.36,0,1,0.66,0.442
104.7,0,15,0.716,0.349
37.2,0,7,0.372,0.694
63.53,0,13,0.627,0.626
4.35,0,15,0.806,0.853
65.87,0,3,0.515,0.384
62.56,0,3,0.899,0.598
21.82,0,14,0.715,0.879
8.08,1,10,0.513,0.149
278.9,1,10,0.679,0.005
741.45,1,10,0.414,0.168
56.5,0,8,0.281,0.358
1166.0,1,10,0.651,0.32
19.58,0,5,0.226,0.829
1.55,0,1,0.761,0.934
4.8,0,12,0.083,0.325
128.44,0,12,0.093,0.343
135.64,0,14,0.657,0.399
278.32,1,10,0.318,0.563
21.46,0,1,0.676,0.295
92.37,0,7,0.397,0.008
5.62,1,10,0.242,0.098
62.59,0,1,0.058,0.093
5.97,0,1,0.458,0.109
296.17,1,10,0.966,0.707
51.78,0,12,0.232,0.901
8.88,1,10,0.43,0.812
9.83,0,5,0.894,0.887
9.79,0,7,0.512,0.017
70.91,0,11,0.099,0.832
59.88,0,9,0.215,0.595
98.29,0,1,0.256,0.681
23.63,0,0,0.239,0.291
48.81,0,12,0.858,0.8
959.71,1,10,0.828,0.471
77.01,0,13,0.765,0.657
13.87,0,12,0.929,0.232
206.08,0,15,0.874,0.707
42.88,0,9,0.682,0.933
30.78,0,12,0.96,0.397
45.59,0,3,0.772,0.505
56.46,0,5,0.022,0.047
121.63,0,12,0.762,0.015
28.76,0,0,0.94,0.085
48.47,0,2,0.766,0.506
26.67,0,9,0.886,0.445
5.31,0,12,0.676,0.223
75.0,0,11,0.301,0.468
69.8,0,13,0.529,0.607
11.46,0,1,0.907,0.443
35.13,0,2,0.798,0.577
1045.16,1,10,0.237,0.884
1112.33,1,10,0.314,0.599
12.0,0,12,0.784,0.335
906.83,1,10,0.295,0.323
21.5,0,0,0.995,0.743
33.14,0,1,0.652,0.513
54.85,0,14,0.929,0.22
134.64,0,7,0.89,0.088
5.0,0,5,0.934,0.903
90.84,0,1,0.099,0.827
80.27,0,7,0.576,0.97
66.37,0,15,0.136,0.252
97.46,0,1,0.456,0.38
74.17,0,12,0.282,0.142
6.5,0,1,0.411,0.731
35.94,0,13,0.949,0.59
122.47,0,0,0.194,0.543
116.31,0,1,0.11,0.529
98.35,0,14,0.969,0.648
103.49,0,3,0.242,0.345
2.75,0,1,0.694,0.498
6.99,0,12,0.886,0.789
138.21,0,12,0.97,0.42
162.69,0,5,0.553,0.031
92.69,0,3,0.852,0.266
57.79,0,15,0.944,0.863
102.57,0,12,0.655,0.58
4.6,0,1,0.088,0.752
106.4,0,12,0.953,0.654
72.46,0,1,0.421,0.85
140.2,0,12,0.168,0.892
142.09,0,8,0.749,0.241
80.19,0,13,0.441,0.72
57.36,0,15,0.984,0.933
63.33,0,1,0.091,0.47
4.48,0,0,0.954,0.503
129.31,0,15,0.6,0.236
8.07,0,14,0.937,0.149
1.6,0,0,0.329,0.932
29.67,0,0,0.715,0.965
59.6,0,8,0.982,0.638
33.72,0,1,0.434,0.304
68.34,0,8,0.378,0.334
104.2,0,7,0.787,0.914
77.23,0,1,0.477,0.493
29.62,0,0,0.906,0.844
3.14,0,2,0.744,0.102
59.34,0,11,0.632,0.06
9.72,0,12,0.615,0.977
72.53,0,12,0.912,0.029
28.58,0,15,0.467,0.501
135.18,0,9,0.567,0.267
4.1,0,14,0.547,0.584
3.57,0,7,0.334,0.276
149.76,0,15,0.58,0.165
5.42,0,15,0.126,0.51
79.93,0,13,0.318,0.817
7.08,0,15,0.643,0.603
2.56,0,15,0.025,0.411
164.21,0,12,0.335,0.074
34.04,0,13,0.406,0.259
6.96,0,5,0.792,0.79
9.56,0,12,0.676,0.262
1.96,0,12,0.638,0.769
4.89,0,11,0.373,0.348
68.01,0,8,0.855,0.282
40.47,0,13,0.874,0.465
70.41,0,11,0.356,0.234
43.63,0,15,0.794,0.748
